company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
Align Technology,universidad fidélitas,228,universidad de costa rica ucr,187,universidad latina de costa rica,183,universidad hispanoamericana (cr),158,universidad americana (cr),122,wrocław university of science and technology,118,tecnológico de costa rica,98,wroclaw university of economics and business,97,university of wroclaw,90,ben-gurion university of the negev,88,universidad autónoma de ciudad juárez,85,north carolina state university,84,uniwersytet wsb merito wrocław,83,tel aviv university,79,fgv - fundação getulio vargas,68,17
Allegion,purdue university,188,universidad autónoma de baja california,114,indiana university bloomington,83,indiana university indianapolis,75,indiana university - kelley school of business,66,cetys universidad,60,instituto tecnológico de ensenada,50,ball state university,50,visvesvaraya technological university,48,alma mater studiorum – università di bologna,46,indiana wesleyan university,43,ivy tech community college,42,university of colorado colorado springs,34,university of cincinnati,32,university of colorado boulder,31,18
Alliant Energy,university of wisconsin-madison,130,kirkwood community college,81,iowa state university,77,madison area technical college,54,university of iowa,54,university of wisconsin-platteville,53,university of wisconsin-whitewater,41,university of northern iowa,39,mount mercy university,30,university of dubuque,30,university of wisconsin-milwaukee,22,the university of iowa tippie college of business,21,upper iowa university,18,edgewood college,16,northeast wisconsin technical college,16,19
Allstate,university of phoenix,643,depaul university,357,university of illinois urbana-champaign,324,savitribai phule pune university,319,northern illinois university,289,arizona state university,246,university of illinois chicago,222,illinois state university,215,university of north carolina at charlotte,200,lake forest graduate school of management,178,university of north texas,167,university of florida,147,penn state university,144,northwestern university,119,university of wisconsin-madison,95,20
Alphabet Inc. (Class A),harvard university,14,stanford university,13,massachusetts institute of technology,10,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,21
Alphabet Inc. (Class C),harvard university,14,stanford university,13,massachusetts institute of technology,10,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,22
Altria,virginia commonwealth university,226,virginia tech,142,university of virginia,90,penn state university,75,virginia commonwealth university - school of business,70,university of missouri-columbia,69,university of richmond,55,michigan state university,55,university of north carolina at chapel hill,49,james madison university,43,north carolina agricultural and technical state university,43,university of phoenix,41,indiana university bloomington,41,university of richmond - robins school of business,39,old dominion university,27,23
Amazon,university of washington,6554,university of mumbai,3593,delhi university,2604,"birla institute of technology and science, pilani",2346,savitribai phule pune university,2293,kendriya vidyalaya,1992,stanford university,1799,massachusetts institute of technology,1527,vellore institute of technology,1462,harvard university,1385,the wharton school,918,the institute of chartered accountants of india,884,indian school of business,855,harvard business school,827,insead,778,24
Amcor,university of wisconsin–oshkosh,257,fox valley technical college,131,lodz university of technology,129,fgv - fundação getulio vargas,116,university of lodz,111,university of wisconsin-madison,97,unopar - universidade norte do paraná,93,michigan state university,89,universidade paulista,66,anhanguera educacional,60,senai são paulo,58,university of buenos aires,58,uel - universidade estadual de londrina,56,unicesumar,53,university of wisconsin-platteville,50,25
Ameren,southern illinois university edwardsville,374,missouri university of science and technology,317,university of missouri-columbia,291,university of missouri-saint louis,241,webster university,221,"southern illinois university, carbondale",150,saint louis university,149,university of illinois urbana-champaign,140,washington university in st. louis,120,lindenwood university,118,st. louis community college,112,maryville university of saint louis,95,southwestern illinois college,89,missouri state university,86,southeast missouri state university,70,26
Arista Networks,san josé state university,120,the university of british columbia,89,"university of california, berkeley",67,trinity college dublin,57,ucla,56,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,27
American Electric Power,the ohio state university,647,ohio university,340,franklin university,256,oklahoma state university,227,columbus state community college,195,the ohio state university fisher college of business,148,tulsa community college,95,purdue university,95,devry university,92,miami university,91,west virginia university,88,bowling green state university,70,university of phoenix,67,capital university,66,zane state college,66,28
American Express,delhi university,2309,arizona state university,1142,indira gandhi national open university,503,guru gobind singh indraprastha university,487,the institute of chartered accountants of india,384,kendriya vidyalaya,379,new york university,368,harvard business school,313,svkm's narsee monjee institute of management studies (nmims),303,nyu stern school of business,271,delhi school of economics,221,"indian institute of management, indore",212,"indian institute of technology, kharagpur",208,"birla institute of technology and science, pilani",199,"indian institute of technology, kanpur",173,29
American International Group,baruch college,125,new york university,118,rutgers university,95,columbia university,73,university of phoenix,73,the university of texas at austin,67,chartered insurance institute,66,penn state university,64,nyu stern school of business,60,texas a&m university,59,delhi university,58,cornell university,50,university college dublin,49,jawaharlal nehru technological university,48,the london school of economics and political science (lse),47,30
American Tower,north carolina state university,65,makerere university,60,university of massachusetts lowell,51,northeastern university,50,instituto politécnico nacional,48,university of massachusetts amherst,46,"kwame nkrumah university of science and technology, kumasi",41,insead,41,suffolk university law school,36,southern new hampshire university,36,boston university,35,bentley university,35,universidad nacional autónoma de méxico,32,universidad tecnológica de méxico,32,university of lagos,30,31
American Water Works,penn state university,55,rowan university,50,rutgers university,38,drexel university,38,rutgers university - camden,37,southern illinois university edwardsville,36,university of phoenix,36,temple university,31,villanova university,27,camden county college,27,purdue university,19,columbia southern university,18,stockton university,17,university of delaware,17,university of kentucky,15,32
Ameriprise Financial,university of minnesota,524,college for financial planning,344,delhi university,307,university of st. thomas,272,university of minnesota - carlson school of management,210,st. cloud state university,171,"minnesota state university, mankato",157,guru gobind singh indraprastha university,132,university of wisconsin-madison,128,university of minnesota duluth,127,the american college of financial services,111,university of wisconsin-eau claire,85,penn state university,84,indira gandhi national open university,76,university of north dakota,74,33
Ametek,penn state university,44,universidad tecmilenio,34,universidad autonoma de tamaulipas,28,villanova university,25,"university of novi sad, faculty of economics in subotica",23,the university of akron,18,iies,17,northeastern university,16,visvesvaraya technological university,16,university of connecticut,14,kent state university,13,universidad tecnológica de tamaulipas norte,13,drexel university,12,temple university,10,oklahoma state university,10,34
Amgen,ucla,524,"california state university, northridge",400,university of southern california,356,university of puerto rico-mayaguez,332,california lutheran university,300,technological university dublin,290,uc santa barbara,247,"university of california, berkeley",246,university college dublin,223,uc san diego,219,"university of california, davis",195,uc irvine,188,northeastern university,171,university of illinois urbana-champaign,140,rutgers university,130,35
Amphenol,universidad autónoma de baja california,24,nttf (nettur technical training foundation),19,penn state university,18,tecnológico de monterrey,15,university of massachusetts lowell,14,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,36
Analog Devices,university of limerick,474,technological university of the philippines,458,mapúa university,270,university of massachusetts lowell,243,northeastern university,225,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,37
Ansys,university of pittsburgh,103,penn state university,96,"indian institute of technology, bombay",69,savitribai phule pune university,63,carnegie mellon university,63,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,38
Aon,delhi university,472,university of illinois urbana-champaign,302,chartered insurance institute,202,institute and faculty of actuaries,152,the london school of economics and political science (lse),149,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,39
APA Corporation,university of memphis,1,saint louis university,1,penn state university,1,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,40
Apollo Global Management,the institute of chartered accountants of india,155,university of mumbai,97,the london school of economics and political science (lse),83,the wharton school,80,nyu stern school of business,59,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,41
Apple Inc.,stanford university,2407,"university of california, berkeley",2133,san josé state university,1983,university of southern california,1631,the university of texas at austin,1551,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,42
Applied Materials,san josé state university,633,ben-gurion university of the negev,481,"university of california, berkeley",392,tel aviv university,376,the university of texas at austin,376,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,43
Aptiv,agh university of krakow,1287,universidad autónoma de ciudad juárez,318,krakow university of economics,308,politechnika krakowska im. tadeusza kościuszki,253,tecnológico de monterrey,228,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,44
Arch Capital Group,university of north carolina at greensboro,70,illinois state university,38,rutgers university,33,penn state university,31,north carolina state university,29,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,45
Arthur J. Gallagher & Co.,savitribai phule pune university,545,bangalore university,367,university of illinois urbana-champaign,188,northern illinois university,177,anziif,177,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,46
Assurant,florida international university,289,university of buenos aires,222,miami dade college,202,university of phoenix,138,georgia state university,86,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,47
AT&T,university of phoenix,2032,udacity,1020,georgia institute of technology,853,georgia state university,565,western governors university,519,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,48
Atmos Energy,texas tech university,69,the university of texas at arlington,60,texas a&m university,59,university of north texas,59,amarillo college,50,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,49
Autodesk,"university of california, berkeley",177,concordia university,163,san francisco state university,112,university of waterloo,108,national university of singapore,105,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,50
