name,location,average_gpa,average_sat_composite,Average Salary 1yr,Average Salary 5yr,acceptance_rate,average_act_composite,type_of_institution,level_of_institution,average_net_price,number_of_students,gpa_link,latitude,longitude,school_name_clean_key
loma linda university,N/A,N/A,N/A,86044.0,95708.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,loma linda university
northampton county area community college,"Bethlehem, PA",3.1,N/A,N/A,N/A,N/A,--,PUBLIC,2 YEAR,9053.0,8484.0,https://www.appily.com/colleges/gpa/3-2,N/A,N/A,northampton county area community college
h w brewster technical college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,h w brewster technical college
washington county career centeradult technical training,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,washington county career centeradult technical training
centura collegenewport news,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,centura collegenewport news
west virginia northern community college,"Wheeling, WV",2.9,N/A,N/A,N/A,N/A,--,PUBLIC,2 YEAR,4524.0,1222.0,https://www.appily.com/colleges/gpa/3-0,N/A,N/A,west virginia northern community college
ashland community and technical college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ashland community and technical college
medical career technical college,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,medical career technical college
apollo career center,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,apollo career center
south texas college,N/A,N/A,N/A,35108.0,50096.666666666664,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,south texas college
advanced barber college and hair design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,advanced barber college and hair design
mitchell college,N/A,N/A,N/A,28355.333333333332,41610.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mitchell college
charter oak state college,N/A,N/A,N/A,59926.666666666664,69946.66666666667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,charter oak state college
university of exeter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,university of exeter
american massage bodywork institute,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,american massage bodywork institute
pontifical catholic university of puerto ricomayaguez,N/A,N/A,N/A,17565.8,25777.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pontifical catholic university of puerto ricomayaguez
wellspring school of allied healthwichita,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wellspring school of allied healthwichita
